inn,ogrn,full_name
"0408007884,1000400664362,""МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ МАЙМИНСКОГО РАЙОНА """"ЦЕНТР ДЕТСКОГО ТВОРЧЕСТВА"""""""
"0408004361,1000400664373,""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"АСТАП"""""""
"1643005423,1001601569760,""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РАДИОКОМПАНИЯ """"ВОСТОК"""""""
"1643005416,1001601569782,""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"СЕЛЬЭНЕРГО-2"""""""
1643000792,1001601569793,КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ АЗНАКАЕВСКОГО РАЙОННО-ПРОИЗВОДСТВЕННОГО УПРАВЛЕНИЯ БЫТОВОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ
"1643005430,1001601569804,""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ЗДОРОВЬЕ"""""""
1602000560,1001601569815,ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ АЗНАКАЕВСКИЙ ЛЕСХОЗ ДЕПАРТАМЕНТА ЛЕСНОГО ХОЗЯЙСТВА И ЭКОЛОГИИ И ПРИРОДНЫХ РЕСУРСОВ РЕСПУБЛИКИ ТАТАРСТАН
"1643005448,1001601569826,""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"РУЗАЛЬ"""""""
"1602000560,1001601569837,""ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ТАТАРСТАН """"АЗНАКАЙЛЕС"""""""
"1643002694,1001601569848,""ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО """"АЗТРУБСТРОЙ"""""""
